benchmark,gappa-abs,gappa-rel,numfuzz,numfuzz-factor,fptaylor-rel,fptaylor-abs
add-assoc,0.014914145420000002,0.014537149700000002,0.001181957,0.0011337115,0.17242889644,10.18271377904
delta4,0.15603557800000004,,0.001883534,0.0028066685,,
himmilbeau,0.04029803966000001,,0.0012919280000000001,0.001369404,0.0218609152,0.021372896720000003
kepler0,0.11930453914,,0.0018050885,0.0024649450000000005,6.4207117371799995,44.62731513954
kepler1,0.2614155018,,0.0022793335000000003,0.0076238485000000005,0.31110973694000005,44.254994807139994
large/horner/Horner,,,,,,
large/horner/Horner10,,,0.001577976,,76.41783815742,13.704498992480001
large/horner/Horner100,,,0.018351532,,,207.21627277862
large/horner/Horner1000,,,,,,
large/horner/Horner1024,,,,,,
large/horner/Horner1100,,,,,,
large/horner/Horner1200,,,,,,
large/horner/Horner128,,,,,,
large/horner/Horner1300,,,,,,
large/horner/Horner1400,,,,,,
large/horner/Horner150,,,,,,
large/horner/Horner1500,,,,,,
large/horner/Horner16,0.07477464430000001,,0.0020648000000000003,0.002071781,98.27158181532,24.2549647233
large/horner/Horner1600,,,,,,
large/horner/Horner1700,,,,,,
large/horner/Horner1800,,,,,,
large/horner/Horner1900,,,,,,
large/horner/Horner20,,,0.002371109,,108.09656299747999,48.30914210796
large/horner/Horner200,,,,,,
large/horner/Horner2000,,,,,,
large/horner/Horner2048,,,,,,
large/horner/Horner256,,,,,,
large/horner/Horner300,,,,,,
large/horner/Horner32,,,,,,
large/horner/Horner4,0.00954772324,,0.001301567,0.001274156,0.23095182522000002,0.17983443408
large/horner/Horner400,,,,,,
large/horner/Horner5,,,0.001288563,,6.63453924284,0.18790415206
large/horner/Horner50,,,0.00638628,,490.06103634583997,115.42202332198
large/horner/Horner500,,,,,,
large/horner/Horner512,,,,,,
large/horner/Horner600,,,,,,
large/horner/Horner64,,,,,,
large/horner/Horner700,,,,,,
large/horner/Horner8,0.025480639160000002,,0.001525887,0.001457977,47.364168489819996,1.5377057676199999
large/horner/Horner800,,,,,,
large/horner/Horner900,,,,,,
large/matmul/matmul10,,,,,,
large/matmul/matmul100,,,,,,
large/matmul/matmul1000,,,,,,
large/matmul/matmul1024,,,,,,
large/matmul/matmul1100,,,,,,
large/matmul/matmul1200,,,,,,
large/matmul/matmul128,,,,,,
large/matmul/matmul1300,,,,,,
large/matmul/matmul1400,,,,,,
large/matmul/matmul1500,,,,,,
large/matmul/matmul16,,,0.060807603,0.060819133000000004,,
large/matmul/matmul1600,,,,,,
large/matmul/matmul1700,,,,,,
large/matmul/matmul1800,,,,,,
large/matmul/matmul1900,,,,,,
large/matmul/matmul20,,,,,,
large/matmul/matmul200,,,,,,
large/matmul/matmul2000,,,,,,
large/matmul/matmul2048,,,,,,
large/matmul/matmul256,,,,,,
large/matmul/matmul300,,,,,,
large/matmul/matmul32,,,,,,
large/matmul/matmul4,1.0522860403999998,,0.002337481,0.0023343210000000003,29.05207182404,1.60222474708
large/matmul/matmul400,,,,,,
large/matmul/matmul5,,,,,,
large/matmul/matmul50,,,,,,
large/matmul/matmul500,,,,,,
large/matmul/matmul512,,,,,,
large/matmul/matmul600,,,,,,
large/matmul/matmul64,,,,,,
large/matmul/matmul700,,,,,,
large/matmul/matmul8,123.45257957848,,0.008197849,0.008148369,51.570889630980005,12.045038569279999
large/matmul/matmul800,,,,,,
large/matmul/matmul900,,,,,,
large/serialsum/serial_sum,,,,,,
large/serialsum/serial_sum_1024,,,,,,
large/serialsum/serial_sum_128,,,,,,
large/serialsum/serial_sum_16,0.15711825092,,0.00217545,0.00218876,73.14768163132,0.18094891592
large/serialsum/serial_sum_2048,,,,,,
large/serialsum/serial_sum_256,,,,,,
large/serialsum/serial_sum_32,,,,,,
large/serialsum/serial_sum_4,0.0059980477,,0.001223436,0.001163425,0.17257192392,0.17094972832000002
large/serialsum/serial_sum_512,,,,,,
large/serialsum/serial_sum_64,,,,,,
large/serialsum/serial_sum_8,0.026960733120000004,,0.0014449460000000001,0.001391866,22.8816292757,0.17299892212
matrixDeterminant,0.1455763072,,0.0019133090000000002,0.0020920210000000003,25.22165767898,22.68163129064
matrixDeterminant2,0.15618081818,,0.00193742,0.0021141965,58.6431222568,25.681254997779998
rigidBody1,0.02732507308,,0.001374284,0.0013307535,0.17022062082000003,0.17097143038
rigidBody2,0.05874292384,,0.001657402,0.0017613680000000001,0.18169998644000002,0.17609773184000002
sineOrder3,0.0158046472,,0.0012407175,0.0012164825,0.02029968066,0.01925360508
sqroot,0.0757550194,0.07455454260000001,0.0015872365,0.0017181875,0.024724190440000002,0.026070899020000003
sum,0.04320966766,,0.0013883645000000002,0.0015513705,1.6088694149,0.40692400828
test01_sum3,0.04359181566,,0.0013837290000000002,0.0015436005000000002,1.69037730328,0.39214591764
