,benchmark,gappa-abs,gappa-rel,numfuzz,numfuzz-factor,fptaylor-rel,fptaylor-abs
0,kepler0,0.12227069896000001,,0.0018076140000000001,0.002478114,,
1,sum,0.04441590962,,0.0013843190000000002,0.001551384,,
2,test01_sum3,0.04438941216,,0.0014001595,0.0015478290000000001,,
3,shoelace-formula,,,0.0016690890000000001,0.0017067340000000001,0.00507648852,0.005103250540000001
4,kepler1,0.27988474496000004,,0.0023284990000000004,0.007715401,,
5,rigidBody2,0.06054821556000001,,0.0016860640000000001,0.0017615295000000001,,
6,matrixDeterminant2,0.15952479456000002,,0.0019253590000000002,0.0021168885,48.19052988966,
7,sineOrder3,0.01647610894,,0.001266709,0.0012400240000000002,0.02002476224,0.019021393740000003
8,delta4,0.16348491136,,0.0019072890000000002,0.002836663,,
9,matrixDeterminant,0.15322964876,,0.001947504,0.0021136985000000004,,
10,add-assoc,0.015285639960000002,0.01505507434,0.001191144,0.0011533189999999999,,
11,rigidBody1,0.02818779474,,0.0013523440000000001,0.001321749,,
12,himmilbeau,0.04042224186,,0.0013102945000000002,0.0013854295,0.020753407340000002,0.02136674346
13,sqroot,0.07859650241999999,0.07614344894,0.0016042740000000002,0.0017406490000000001,0.02372938964,0.02490294616
