,benchmark,gappa-abs,gappa-rel,numfuzz,numfuzz-factor,fptaylor-rel,fptaylor-abs
0,sum,0.02253,nan,0.005026,0.00447,0.781,0.3981
1,kepler0,0.04553,nan,0.007683,0.008623,2.28,14.85
2,shoelace-formula,nan,nan,0.006093,0.006439,0.007469,0.01029
3,add-assoc,0.01283,0.01406,0.002355,0.002266,0.2179,6.139
4,himmilbeau,0.03927,nan,0.003182,0.003287,0.03124,0.03008
5,sineOrder3,0.01593,nan,0.00167,0.002106,0.01415,0.02709
6,matrixDeterminant2,0.1606,nan,0.007249,0.005932,16.4,13.73
7,rigidBody1,0.02717,nan,0.004609,0.004177,0.2061,0.2007
8,delta4,0.09792,nan,0.01109,0.008473,1.308,0.8243
9,sqroot,0.07071,0.03826,0.007927,0.005462,0.02272,0.02017
10,rigidBody2,0.02908,nan,0.008406,0.005789,0.2109,0.2029
11,matrixDeterminant,0.08021,nan,0.01281,0.005085,7.65,13.9
12,test01_sum3,0.03723,nan,0.005074,0.004452,1.074,0.4695
13,kepler1,0.1617,nan,0.01291,0.0153,0.2746,14.1
