benchmark,satire-noAbs,satire-10_20,satire-15_25,satire-20_40,gappa-abs,gappa-rel,numfuzz,numfuzz-factor,fptaylor-rel,fptaylor-abs,gappa-abs-memory-kb,gappa-rel-memory-kb,numfuzz-memory-kb,numfuzz-factor-memory-kb,fptaylor-memory-kb,gappa-abs-status,gappa-rel-status,numfuzz-status,numfuzz-factor-status,fptaylor-status,satire-noAbs-status,satire-10_20-status,satire-15_25-status,satire-20_40-status
add-assoc,,,,,0.023428356180000002,0.02315635828,0.001181957,0.0011337115,0.26094586372,7.37361706646,7108.0,7380.0,,,198768.0,success,success,success,success,success,success,success,success,success
delta4,,,,,0.25129603128000005,,0.001883534,0.0028066685,1.39960439034,0.7294778557400001,18936.0,19096.0,,,23724.0,success,failed,success,success,success,success,success,success,success
himmilbeau,,,,,0.06722037188,,0.0012919280000000001,0.001369404,0.032354381960000005,0.03429486700000001,9544.0,9532.0,,,6652.0,success,failed,success,success,success,success,success,success,success
kepler0,,,,,0.21632363966,,0.0018050885,0.0024649450000000005,2.9868574986,18.699188990779998,16456.0,16392.0,,,147052.0,success,failed,success,success,success,success,success,success,success
kepler1,,,,,0.49520270124000004,,0.0022793335000000003,0.0076238485000000005,0.32308108768000005,15.298273844019999,25664.0,25352.0,,,206588.0,success,failed,success,success,success,success,success,success,success
large/horner/Horner128,,8.595337629318237,10.369390487670898,12.934195280075073,5.93715730254,,0.043572795000000004,0.043555945000000006,,82.50158298786,53032.0,53280.0,9108.0,9140.0,,success,failed,success,success,timeout,timeout,success,success,success
large/horner/Horner16,4.286131858825684,1.2421464920043945,1.4079663753509521,4.246208906173706,0.12605776854,,0.0028820110000000003,0.0028509290000000003,51.85485398212,11.7965621145,10664.0,10640.0,3696.0,3668.0,461048.0,success,failed,success,success,success,success,success,success,success
large/horner/Horner2048,,313.71851897239685,281.3132839202881,307.81644439697266,,,12.027666729,12.143118903,,,,342872.0,1220668.0,1220692.0,,timeout,failed,success,success,timeout,timeout,timeout,timeout,success
large/horner/Horner256,,17.07475185394287,20.617504119873047,26.328046798706055,22.77177635936,,0.156802074,0.157995887,,,102392.0,103176.0,23908.0,23912.0,,success,failed,success,success,timeout,timeout,success,success,success
large/horner/Horner32,52.536757707595825,2.4241037368774414,2.7781808376312256,3.48649263381958,0.4476387317800001,,0.005336845000000001,0.005458496,132.70913453994,24.710107024779997,16376.0,16048.0,4076.0,3740.0,997800.0,success,failed,success,success,timeout,success,success,success,success
large/horner/Horner4,0.27022433280944824,0.2997763156890869,0.2862110137939453,0.34426164627075195,0.014623355280000002,,0.0016807570000000002,0.0017022650000000001,0.27577607704,0.25400626598000003,6052.0,6460.0,3292.0,3320.0,24452.0,failed,failed,failed,failed,failed,failed,failed,failed,failed
large/horner/Horner512,,37.08237957954407,42.478962421417236,53.706239461898804,92.238728468,,0.616461912,0.629541651,,,209672.0,209548.0,82040.0,81604.0,16692472.0,timeout,failed,success,success,failed,timeout,success,success,success
large/horner/Horner64,826.3983812332153,4.862703800201416,5.206483364105225,6.665614128112793,1.60701171242,,0.013748837000000002,0.014206909,,44.29548242864,28616.0,28652.0,4896.0,4844.0,1849784.0,success,failed,success,success,timeout,timeout,success,success,success
large/horner/Horner8,0.7005236148834229,0.8919334411621094,0.6474134922027588,0.6484158039093018,0.04146094226,,0.001928697,0.0019490430000000001,21.11197311038,0.94774898624,8044.0,7916.0,3340.0,3336.0,266456.0,success,failed,success,success,success,success,success,success,success
large/serialsum/serial_sum_1024,,23.004032611846924,19.321911573410034,18.381325483322144,,,3.910853058,3.9121318890000003,,56.376847973,,,766828.0,766908.0,,timeout,timeout,success,success,timeout,timeout,success,success,success
large/serialsum/serial_sum_128,24.14616370201111,2.4190139770507812,2.005727767944336,1.9708225727081299,86.83309519992,,0.061640931,0.061591483,,0.75359804576,864680.0,865092.0,15976.0,16000.0,3718236.0,timeout,failed,success,success,timeout,success,success,success,success
