benchmark,satire-noAbs,satire-10_20,satire-15_25,satire-20_40,gappa-abs,gappa-rel,numfuzz,numfuzz-factor,fptaylor-rel,fptaylor-abs,gappa-abs-memory-kb,gappa-rel-memory-kb,numfuzz-memory-kb,numfuzz-factor-memory-kb,fptaylor-memory-kb,gappa-abs-status,gappa-rel-status,numfuzz-status,numfuzz-factor-status,fptaylor-status,satire-noAbs-status,satire-10_20-status,satire-15_25-status,satire-20_40-status
large/serialsum/serial_sum_128,21.974884748458862,2.3434395790100098,1.9770755767822266,2.0182762145996094,78.37178739352001,,0.057953944,,,0.68653188042,861312.0,863016.0,15704.0,,3716984.0,timeout,failed,success,success,timeout,success,success,success,success
large/serialsum/serial_sum_16,0.16252565383911133,0.18437933921813965,0.16116070747375488,0.15030121803283691,0.24155569678,,0.003011124,,22.70447678552,0.241146678,19148.0,19244.0,2984.0,,450864.0,success,failed,success,success,timeout,success,success,success,success
large/serialsum/serial_sum_2048,,67.33880519866943,51.667383670806885,46.77314758300781,,,17.216722796,,,,,,3046184.0,,,timeout,timeout,success,success,timeout,timeout,success,success,success
large/serialsum/serial_sum_256,166.8560926914215,5.010693788528442,3.8727917671203613,3.860056161880493,,,0.20629881,,20.05731958702,2.18943930324,3431968.0,3431388.0,51948.0,,155384.0,timeout,failed,success,success,success,success,success,success,success
large/serialsum/serial_sum_32,0.5574238300323486,0.5321981906890869,0.4343395233154297,0.5410401821136475,1.6167993835599999,,0.006192761000000001,,46.52007176094,0.26457954570000003,60100.0,58980.0,3560.0,,915448.0,success,failed,success,success,timeout,success,success,success,success
large/serialsum/serial_sum_4,0.1404430866241455,0.06830620765686035,0.1094813346862793,0.07898592948913574,0.00881720088,,0.0018924880000000001,,0.23156253616,0.22493748482,5916.0,5960.0,2984.0,,23560.0,success,failed,success,success,success,success,success,success,success
large/serialsum/serial_sum_512,,9.676320791244507,8.077707529067993,8.011224269866943,,,0.820369923,,,9.651666155680001,,,195064.0,,574204.0,timeout,timeout,success,success,timeout,timeout,success,success,success
large/serialsum/serial_sum_64,2.8639423847198486,1.257612705230713,1.2074346542358398,0.9521651268005371,11.12674904676,,0.016269218000000002,,73.43591147613999,0.3410468887,220792.0,221336.0,6428.0,,1720120.0,success,failed,success,success,timeout,success,success,success,success
large/serialsum/serial_sum_8,0.09952259063720703,0.12072324752807617,0.12913918495178223,0.13587450981140137,0.03897144818,,0.0019858130000000003,,9.27439424412,0.22637256992000002,8256.0,8244.0,2984.0,,290432.0,success,failed,success,success,success,success,success,success,success
matrixDeterminant,,,,,0.26365111036,,0.00292045,0.0034202420000000004,8.574861739080001,16.30586225282,16264.0,16888.0,3052.0,3044.0,202816.0,success,failed,success,success,success,success,success,success,success
matrixDeterminant2,,,,,0.27084952034,,0.0034623630000000004,0.0031184190000000003,18.8301448588,16.41659682888,17016.0,16372.0,3072.0,3036.0,197428.0,success,failed,success,success,success,success,success,success,success
rigidBody1,,,,,0.042123072260000005,,0.002263915,0.002249324,0.25977435458000003,0.2516298329,8280.0,8236.0,2976.0,3084.0,23648.0,success,failed,success,success,success,success,success,success,success
rigidBody2,,,,,0.0986633573,,0.002630528,0.002843837,0.2798431307,0.27753433758,10564.0,10548.0,2976.0,3096.0,24108.0,success,failed,success,success,success,success,success,success,success
sineOrder3,,,,,0.0266165399,,0.002070956,0.002039209,0.043844268840000006,0.02718904178,7112.0,7096.0,3104.0,3076.0,7104.0,success,failed,success,success,success,success,success,success,success
sqroot,,,,,0.12513093586000001,0.12008743336000001,0.002364221,0.00262844,0.05713002024,0.07358950936,12316.0,11764.0,3056.0,3024.0,6424.0,success,success,success,success,success,success,success,success,success
sum,,,,,0.07644231586,,0.0021849580000000003,0.0022173740000000003,0.7503507247600001,0.7283273771400001,10680.0,10580.0,3056.0,3024.0,24188.0,success,failed,success,success,success,success,success,success,success
test01_sum3,,,,,0.07028089156,,0.002099787,0.002316926,0.71188358696,0.49994629774000005,10596.0,9460.0,3060.0,3040.0,24100.0,success,failed,success,success,success,success,success,success,success
