benchmark,satire-noAbs,satire-10_20,satire-15_25,satire-20_40,gappa-abs,gappa-rel,numfuzz,numfuzz-factor,fptaylor-rel,fptaylor-abs,gappa-abs-memory-kb,gappa-rel-memory-kb,numfuzz-memory-kb,numfuzz-factor-memory-kb,fptaylor-memory-kb,gappa-abs-status,gappa-rel-status,numfuzz-status,numfuzz-factor-status,fptaylor-status,satire-noAbs-status,satire-10_20-status,satire-15_25-status,satire-20_40-status
add-assoc,,,,,0.02065055356,0.0205144519,0.00237178,0.0015573590000000001,0.25683011816000006,6.79525676484,,,,,,failed,failed,failed,failed,failed,success,success,success,success
delta4,,,,,0.24444623026,,0.002773414,0.003947939,1.42180139992,0.7100734592600001,,,,,,failed,failed,failed,failed,failed,success,success,success,success
himmilbeau,,,,,0.0608797712,,0.002364588,0.002773063,0.036617009660000005,0.0400581693,,,,,,failed,failed,failed,failed,failed,success,success,success,success
kepler0,,,,,0.19906654228,,0.002582345,0.0033716130000000003,2.82638480088,18.19419083196,,,,,,failed,failed,failed,failed,failed,success,success,success,success
kepler1,,,,,0.44794407936,,0.003726108,0.011203934,0.46865221030000004,15.60094931106,,,,,,failed,failed,failed,failed,failed,success,success,success,success
large/horner/Horner1024,,79.46801900863647,85.05792832374573,100.8403730392456,,,2.3723571100000003,,,,,,,,,failed,failed,failed,success,failed,timeout,success,success,success
large/horner/Horner128,,7.546811103820801,9.105359077453613,11.58270525932312,5.07489811516,,0.03527749,,,69.84555532626,,,,,,failed,failed,failed,success,failed,timeout,success,success,success
large/horner/Horner16,3.466937780380249,0.9242734909057617,1.0906684398651123,3.4756264686584473,0.1065766965,,0.002203913,,42.933603632060006,9.666565894220001,,,,,,failed,failed,failed,success,failed,failed,success,success,success
large/horner/Horner2,,,,,0.0068965597,,0.001970411,,0.25301166306,0.25245914090000005,,,,,,success,failed,success,success,success,success,success,success,success
large/horner/Horner2048,,262.05786776542664,234.07252073287964,251.46973323822021,,,10.350759287,,,,,,,,,failed,failed,failed,success,failed,timeout,timeout,timeout,success
large/horner/Horner256,,15.662569284439087,18.03691267967224,23.867130756378174,19.50345812292,,0.130954289,,,,,,,,,failed,failed,failed,success,failed,timeout,success,success,success
large/horner/Horner32,44.26512122154236,1.8288583755493164,2.1852762699127197,2.7961699962615967,0.36963830032000006,,0.004370041,,112.27634857744,20.40154594612,,,,,,failed,failed,failed,success,failed,failed,success,success,success
large/horner/Horner4,0.19736504554748535,0.25640368461608887,0.20876002311706543,0.17513418197631836,0.01510434876,,0.0013821970000000002,,0.2060338125,0.18515484252000003,,,,,,failed,failed,failed,failed,failed,failed,failed,failed,failed
large/horner/Horner512,,32.481423139572144,37.66767930984497,47.54521727561951,78.0793778849,,0.5150177420000001,,,,,,,,,failed,failed,failed,success,failed,timeout,success,success,success
large/horner/Horner64,704.149507522583,3.6795456409454346,4.4783244132995605,5.661900758743286,1.35429988558,,0.010935525000000001,,,36.664180767000005,,,,,,failed,failed,failed,success,failed,timeout,success,success,success
large/horner/Horner8,0.4995238780975342,0.5199048519134521,0.5648014545440674,0.5545029640197754,0.03351703736,,0.0014173520000000002,,17.70714450542,0.75594763312,,,,,,failed,failed,failed,success,failed,failed,success,success,success
large/matmul/matmul128,823.776769399643,534.252171754837,441.72137093544006,414.36475110054016,,,,,,,,,,,,failed,failed,failed,failed,failed,timeout,timeout,timeout,timeout
large/matmul/matmul16,1.2224586009979248,1.2379353046417236,1.2913331985473633,1.2110764980316162,,,,0.077118905,,,,,,,,failed,failed,success,failed,failed,failed,success,success,success
large/matmul/matmul32,7.6467132568359375,6.247044801712036,6.280815839767456,7.428269863128662,,,,1.011725822,,,,,,,,failed,failed,success,failed,failed,timeout,timeout,timeout,timeout
large/matmul/matmul4,0.09218025207519531,0.09645867347717285,0.11219191551208496,0.06375479698181152,1.40410074464,,,0.002470505,10.179930561319999,0.88573130236,,,,,,failed,failed,success,failed,failed,failed,success,success,success
large/matmul/matmul64,61.11826276779175,48.349149227142334,45.94322323799133,45.18138122558594,,,,,,,,,,,,failed,failed,failed,failed,failed,timeout,timeout,timeout,timeout
large/matmul/matmul8,0.17701148986816406,0.18105649948120117,0.21775007247924805,0.154313325881958,145.99607747304,,,0.009634101,15.780504855799999,7.48407536466,,,,,,failed,failed,success,failed,failed,failed,success,success,success
large/poly/Poly128,125.97108125686646,13.246089220046997,11.778562307357788,10.54964303970337,,,,0.235696186,,108.30300353793999,,,,,,failed,failed,success,failed,failed,failed,success,success,success
large/poly/Poly16,0.8802473545074463,1.1680347919464111,1.0519578456878662,0.868356466293335,0.9516327757000002,,,0.004117343,107.0898967209,13.6976659009,,,,,,failed,failed,success,failed,failed,failed,success,success,success
large/poly/Poly256,860.0758125782013,35.46382761001587,31.552680730819702,27.868085145950317,,,,1.642915028,,,,,,,,failed,failed,success,failed,failed,timeout,timeout,success,success
