benchmark,pre-rel,pre-abs,pre-rel-factor,pre-abs-factor,gappa-abs,gappa-rel,fptaylor-abs,fptaylor-rel,satire-abs-noAbs,satire-abs-10_20,satire-abs-15_25,satire-abs-20_40
add-assoc,6.661e-16,2.665e-12,4.441e-16,1.776e-12,1.364e-12,6.661e-16,9.095e-13,2.22e-15,,,,
delta4,,1.087e-12,,4.756e-13,2.123e-13,,1.154e-13,,,,,
himmilbeau,,1.615e-11,,8.615e-12,2e-12,,1.18e-12,,,,,
kepler0,,9.534e-13,,6.81e-13,1.982e-13,,1.171e-13,2.434e-15,,,,
kepler1,,5.944e-12,,2.843e-12,7.456e-13,,3.918e-13,7.654e-15,,,,
large/horner/Horner1024,,2.331e-10,,,7.784e-11,,,,,1.75e-10,1.75e-10,1.75e-10
large/horner/Horner128,,3.666e-12,,,1.241e-12,,1.269e-12,,,2.778e-12,2.778e-12,2.778e-12
large/horner/Horner16,,6.04e-14,,,2.243e-14,,2.554e-14,,4.896e-14,4.896e-14,4.896e-14,4.896e-14
large/horner/Horner2048,,9.318e-10,,,3.109e-10,,,,,6.993e-10,6.993e-10,6.993e-10
large/horner/Horner256,,1.461e-11,,,4.907e-12,,,,,1.101e-11,1.101e-11,1.101e-11
large/horner/Horner32,,2.345e-13,,,8.282e-14,,8.948e-14,,1.831e-13,1.831e-13,1.831e-13,1.831e-13
large/horner/Horner4,,4.441e-15,,,1.998e-15,,2.442e-15,,4.33e-15,4.33e-15,4.33e-15,4.33e-15
large/horner/Horner512,,5.832e-11,,,1.952e-11,,1.963e-11,,,4.385e-11,4.385e-11,4.385e-11
large/horner/Horner64,,9.237e-13,,,3.173e-13,,3.311e-13,,7.071e-13,7.071e-13,7.071e-13,7.071e-13
large/horner/Horner8,,1.599e-14,,,6.439e-15,,7.772e-15,,1.388e-14,1.388e-14,1.388e-14,1.388e-14
large/matmul/matmul128,,,1.776e-15,9.095e-13,,,,,3.836e-12,3.836e-12,3.836e-12,3.836e-12
large/matmul/matmul16,,,1.11e-15,7.105e-14,,,,,8.127e-14,8.127e-14,8.127e-14,8.127e-14
large/matmul/matmul32,,,1.332e-15,1.705e-13,,,,,2.767e-13,2.767e-13,2.767e-13,2.767e-13
large/matmul/matmul4,,,6.661e-16,1.066e-14,1.554e-15,,2.22e-15,,9.326e-15,9.326e-15,9.326e-15,9.326e-15
large/matmul/matmul64,,,1.554e-15,3.979e-13,,,,,1.009e-12,1.009e-12,1.009e-12,1.009e-12
large/matmul/matmul8,,,8.882e-16,2.842e-14,5.551e-15,,7.105e-15,,2.62e-14,2.62e-14,2.62e-14,2.62e-14
large/poly/Poly1024,,,,1.196e-07,,,,,,,1.75e-10,1.75e-10
large/poly/Poly128,,,,2.383e-10,252,,,,2.778e-12,2.778e-12,2.778e-12,2.778e-12
large/poly/Poly16,,,,5.473e-13,28,,5.418e-14,,4.896e-14,4.896e-14,4.896e-14,4.896e-14
large/poly/Poly2048,,,,9.551e-07,,,,,,,,
large/poly/Poly256,,,,1.885e-09,508,,,,1.101e-11,1.101e-11,1.101e-11,1.101e-11
large/poly/Poly32,,,,3.993e-12,60,,2.034e-13,,1.831e-13,1.831e-13,1.831e-13,1.831e-13
large/poly/Poly4,,,,1.443e-14,4,,4.441e-15,,4.33e-15,4.33e-15,4.33e-15,4.33e-15
large/poly/Poly512,,,,1.499e-08,,,,,,4.385e-11,4.385e-11,4.385e-11
large/poly/Poly64,,,,3.05e-11,124,,7.86e-13,,7.071e-13,7.071e-13,7.071e-13,7.071e-13
large/poly/Poly8,,,,8.193e-14,12,,1.51e-14,,1.388e-14,1.388e-14,1.388e-14,1.388e-14
large/serialsum/serial_sum_1024,,1.164e-10,,,,,7.784e-11,,,5.838e-11,5.838e-11,5.838e-11
large/serialsum/serial_sum_128,,1.819e-12,,,1.213e-12,,1.241e-12,,9.307e-13,9.307e-13,9.307e-13,9.307e-13
large/serialsum/serial_sum_16,,2.842e-14,,,1.887e-14,,2.198e-14,,1.676e-14,1.676e-14,1.676e-14,1.676e-14
large/serialsum/serial_sum_2048,,4.657e-10,,,,,,,,2.332e-10,2.332e-10,2.332e-10
large/serialsum/serial_sum_256,,7.276e-12,,,4.851e-12,,4.907e-12,,3.681e-12,3.681e-12,3.681e-12,3.681e-12
large/serialsum/serial_sum_32,,1.137e-13,,,7.572e-14,,8.238e-14,,6.206e-14,6.206e-14,6.206e-14,6.206e-14
large/serialsum/serial_sum_4,,1.776e-15,,,1.11e-15,,1.554e-15,,1.443e-15,1.443e-15,1.443e-15,1.443e-15
large/serialsum/serial_sum_512,,2.91e-11,,,,,1.952e-11,,1.464e-11,1.464e-11,1.464e-11,1.464e-11
large/serialsum/serial_sum_64,,4.547e-13,,,3.031e-13,,3.169e-13,,2.379e-13,2.379e-13,2.379e-13,2.379e-13
large/serialsum/serial_sum_8,,7.105e-15,,,4.663e-15,,5.995e-15,,4.774e-15,4.774e-15,4.774e-15,4.774e-15
matrixDeterminant,,2.265e-11,,6.661e-12,5.983e-12,,3.126e-12,,,,,
matrixDeterminant2,,2.265e-11,,6.661e-12,5.983e-12,,3.126e-12,,,,,
rigidBody1,,9.392e-13,,7.827e-13,5.009e-13,,4.263e-13,,,,,
rigidBody2,,1.826e-10,,9.13e-11,6.485e-11,,4.543e-11,,,,,
sineOrder3,,4.573e-15,,3.266e-15,1.274e-15,,9.2e-16,,,,,
sqroot,3.775e-15,4.857e-15,1.332e-15,1.735e-15,1.041e-15,1.202e-15,9.714e-16,8.883e-16,,,,
sum,,2.665e-14,,1.332e-14,6.661e-15,,4.441e-15,1.011e-15,,,,
test01_sum3,,1.431e-05,,7.153e-06,6.661e-15,,4.441e-15,1.011e-15,,,,
