benchmark,pre-rel,pre-abs,pre-rel-factor,pre-abs-factor,gappa-abs,gappa-rel,fptaylor-abs,fptaylor-rel,satire-abs-noAbs,satire-abs-10_20,satire-abs-15_25,satire-abs-20_40
large/horner/Horner1024,,,,,,,,,,1.75e-10,1.75e-10,1.75e-10
large/horner/Horner128,,,,,,,,,,2.778e-12,2.778e-12,2.778e-12
large/horner/Horner16,,,,,,,,,4.896e-14,4.896e-14,4.896e-14,4.896e-14
large/horner/Horner2048,,,,,,,,,,6.993e-10,6.993e-10,6.993e-10
large/horner/Horner256,,,,,,,,,,1.101e-11,1.101e-11,1.101e-11
large/horner/Horner32,,,,,,,,,1.831e-13,1.831e-13,1.831e-13,1.831e-13
large/horner/Horner4,,,,,,,,,4.33e-15,4.33e-15,4.33e-15,4.33e-15
large/horner/Horner512,,,,,,,,,,4.385e-11,4.385e-11,4.385e-11
large/horner/Horner64,,,,,,,,,7.071e-13,7.071e-13,7.071e-13,7.071e-13
large/horner/Horner8,,,,,,,,,1.388e-14,1.388e-14,1.388e-14,1.388e-14
large/matmul/matmul128,,,,,,,,,3.836e-12,3.836e-12,3.836e-12,3.836e-12
large/matmul/matmul16,,,,,,,,,8.127e-14,8.127e-14,8.127e-14,8.127e-14
large/matmul/matmul32,,,,,,,,,2.767e-13,2.767e-13,2.767e-13,2.767e-13
large/matmul/matmul4,,,,,,,,,9.326e-15,9.326e-15,9.326e-15,9.326e-15
large/matmul/matmul64,,,,,,,,,1.009e-12,1.009e-12,1.009e-12,1.009e-12
large/matmul/matmul8,,,,,,,,,2.62e-14,2.62e-14,2.62e-14,2.62e-14
large/poly/Poly128,,,,,,,,,2.778e-12,2.778e-12,2.778e-12,2.778e-12
large/poly/Poly16,,,,,,,,,4.896e-14,4.896e-14,4.896e-14,4.896e-14
large/poly/Poly256,,,,,,,,,1.101e-11,1.101e-11,1.101e-11,1.101e-11
large/poly/Poly32,,,,,,,,,1.831e-13,1.831e-13,1.831e-13,1.831e-13
large/poly/Poly4,,,,,,,,,4.33e-15,4.33e-15,4.33e-15,4.33e-15
large/poly/Poly512,,,,,,,,,,4.385e-11,4.385e-11,4.385e-11
large/poly/Poly64,,,,,,,,,7.071e-13,7.071e-13,7.071e-13,7.071e-13
large/poly/Poly8,,,,,,,,,1.388e-14,1.388e-14,1.388e-14,1.388e-14
large/serialsum/serial_sum_1024,,,,,,,,,,5.838e-11,5.838e-11,5.838e-11
large/serialsum/serial_sum_128,,,,,,,,,9.307e-13,9.307e-13,9.307e-13,9.307e-13
large/serialsum/serial_sum_16,,,,,,,,,1.676e-14,1.676e-14,1.676e-14,1.676e-14
large/serialsum/serial_sum_2048,,,,,,,,,,2.332e-10,2.332e-10,2.332e-10
large/serialsum/serial_sum_256,,,,,,,,,3.681e-12,3.681e-12,3.681e-12,3.681e-12
large/serialsum/serial_sum_32,,,,,,,,,6.206e-14,6.206e-14,6.206e-14,6.206e-14
large/serialsum/serial_sum_4,,,,,,,,,1.443e-15,1.443e-15,1.443e-15,1.443e-15
large/serialsum/serial_sum_512,,,,,,,,,,1.464e-11,1.464e-11,1.464e-11
large/serialsum/serial_sum_64,,,,,,,,,2.379e-13,2.379e-13,2.379e-13,2.379e-13
large/serialsum/serial_sum_8,,,,,,,,,4.774e-15,4.774e-15,4.774e-15,4.774e-15
