benchmark,satire-noAbs,satire-10_20,satire-15_25,satire-20_40,gappa-abs,gappa-rel,numfuzz,numfuzz-factor,fptaylor-rel,fptaylor-abs,gappa-abs-memory-kb,gappa-rel-memory-kb,numfuzz-memory-kb,numfuzz-factor-memory-kb,fptaylor-memory-kb,gappa-abs-status,gappa-rel-status,numfuzz-status,numfuzz-factor-status,fptaylor-status,satire-noAbs-status,satire-10_20-status,satire-15_25-status,satire-20_40-status
add-assoc,,,,,0.029108635820000003,0.030095530920000002,0.001181957,0.0011337115,0.31993215972,7.021777600659999,7824.0,7732.0,,,199372.0,success,success,success,success,success,success,success,success,success
delta4,,,,,0.3124852544,,0.001883534,0.0028066685,1.61589764954,0.7321249264,19268.0,19284.0,,,25324.0,success,failed,success,success,success,success,success,success,success
himmilbeau,,,,,0.08009629676,,0.0012919280000000001,0.001369404,0.03162993654,0.03312175232,10044.0,9780.0,,,7188.0,success,failed,success,success,success,success,success,success,success
kepler0,,,,,0.23415151914000001,,0.0018050885,0.0024649450000000005,3.06121839266,21.19804720758,17008.0,16668.0,,,147440.0,success,failed,success,success,success,success,success,success,success
kepler1,,,,,0.78474843614,,0.0022793335000000003,0.0076238485000000005,0.4241488211600001,15.06643213606,25540.0,25336.0,,,207044.0,success,failed,success,success,success,success,success,success,success
large/horner/Horner10,,,,,,,0.001577976,,76.41783815742,13.704498992480001,,,,,,success,success,success,success,success,success,success,success,success
large/horner/Horner100,,,,,,,0.018351532,,,207.21627277862,,,,,,success,success,success,success,success,success,success,success,success
large/horner/Horner128,,11.511669397354126,13.903041124343872,16.71300196647644,6.50315443026,,0.059335014000000005,0.061556347000000004,1665.54374469674,88.85943269206,53120.0,53096.0,9220.0,9204.0,3189004.0,success,failed,success,success,timeout,success,success,success,success
large/horner/Horner16,,1.5507194995880127,1.621988296508789,5.568679094314575,0.12883685526,,0.005030674000000001,0.0031639520000000003,55.5666456497,12.002559890979999,10904.0,11064.0,3784.0,3756.0,461820.0,success,failed,success,success,success,success,success,success,success
large/horner/Horner20,,,,,,,0.002371109,,108.09656299747999,48.30914210796,,,,,,success,success,success,success,success,success,success,success,success
