benchmark,pre-rel,pre-abs,pre-rel-factor,pre-abs-factor,gappa-abs,gappa-rel,fptaylor-abs,fptaylor-rel,satire-abs-noAbs,satire-abs-10_20,satire-abs-15_25,satire-abs-20_40
add-assoc,,,,,,,9.095e-13,2.22e-15,,,,
delta4,,,,,,,1.154e-13,,,,,
himmilbeau,,,,,,,1.18e-12,,,,,
kepler0,,,,,,,1.171e-13,2.434e-15,,,,
kepler1,,,,,,,3.918e-13,7.654e-15,,,,
large/horner/Horner128,,3.666e-12,,3.666e-12,,,1.269e-12,,,2.778e-12,2.778e-12,2.778e-12
large/horner/Horner16,,6.04e-14,,6.04e-14,,,2.554e-14,,,4.896e-14,4.896e-14,4.896e-14
large/horner/Horner256,,1.461e-11,,1.461e-11,,,4.964e-12,,,1.101e-11,1.101e-11,1.101e-11
large/horner/Horner32,,2.345e-13,,2.345e-13,,,8.948e-14,,,1.831e-13,1.831e-13,1.831e-13
large/horner/Horner4,,4.441e-15,,4.441e-15,,,2.442e-15,,,4.33e-15,4.33e-15,4.33e-15
large/horner/Horner64,,9.237e-13,,9.237e-13,,,3.311e-13,,,7.071e-13,7.071e-13,7.071e-13
large/horner/Horner8,,1.599e-14,,1.599e-14,,,7.772e-15,,,1.388e-14,1.388e-14,1.388e-14
large/matmul/matmul16,1.11e-15,7.105e-14,1.11e-15,7.105e-14,,,,,,8.127e-14,8.127e-14,8.127e-14
large/matmul/matmul32,1.332e-15,1.705e-13,1.332e-15,1.705e-13,,,,,,2.767e-13,2.767e-13,2.767e-13
large/matmul/matmul4,6.661e-16,1.066e-14,6.661e-16,1.066e-14,,,2.22e-15,,,9.326e-15,9.326e-15,9.326e-15
large/matmul/matmul64,,,,,,,,,,1.009e-12,1.009e-12,1.009e-12
large/matmul/matmul8,8.882e-16,2.842e-14,8.882e-16,2.842e-14,,,7.105e-15,,2.62e-14,2.62e-14,2.62e-14,2.62e-14
large/serialsum/serial_sum_128,,3.61e-12,,3.61e-12,,,1.241e-12,,,9.307e-13,9.307e-13,9.307e-13
large/serialsum/serial_sum_16,,5.329e-14,,5.329e-14,,,2.198e-14,,,1.676e-14,1.676e-14,1.676e-14
large/serialsum/serial_sum_256,,1.45e-11,,1.45e-11,,,4.907e-12,,,3.681e-12,3.681e-12,3.681e-12
large/serialsum/serial_sum_32,,2.203e-13,,2.203e-13,,,8.238e-14,,,6.206e-14,6.206e-14,6.206e-14
large/serialsum/serial_sum_4,,2.665e-15,,2.665e-15,,,1.554e-15,,,1.443e-15,1.443e-15,1.443e-15
large/serialsum/serial_sum_64,,8.953e-13,,8.953e-13,,,3.169e-13,,,2.379e-13,2.379e-13,2.379e-13
large/serialsum/serial_sum_8,,1.243e-14,,1.243e-14,,,5.995e-15,,,4.774e-15,4.774e-15,4.774e-15
matrixDeterminant,,,,,,,3.126e-12,,,,,
matrixDeterminant2,,,,,,,3.126e-12,,,,,
rigidBody1,,,,,,,4.263e-13,,,,,
rigidBody2,,,,,,,4.543e-11,,,,,
sineOrder3,,,,,,,9.2e-16,,,,,
sqroot,,,,,,,9.714e-16,8.883e-16,,,,
sum,,,,,,,4.441e-15,1.011e-15,,,,
test01_sum3,,,,,,,4.441e-15,1.011e-15,,,,
